       0         0.9952276079        -0.4821344795         0.4821344795         0.9952276079
       0         0.0492511108         0.3979897922        -0.3979897922         0.0492511108
      25        -0.7110899393         0.8445789147        -0.8445669079        -0.7110840870
      25        -0.2137584565        -0.3451248300         0.3451253459        -0.2137633581
      50         0.3045633259        -1.0593276988         1.0593057641         0.3045526544
      50         0.3425101697         0.2270004410        -0.2270014266         0.3425190674
      75         0.1534054049         1.0896356945        -1.0896076291         0.1534190119
      75        -0.4108872997        -0.0641049040         0.0641062676        -0.4108985536
     100        -0.5831968570        -0.9308915392         0.9308622008        -0.5832109985
     100         0.4049741521        -0.1143943769         0.1143927704         0.4049856908
     125         0.9103679699         0.6112992775        -0.6112737434         0.9103801510
     125        -0.3243124622         0.2758981869        -0.2758965108        -0.3243221649
     150        -1.0785496514        -0.1868621260         0.1868448138        -1.0785577240
     150         0.1822090778        -0.3903335299         0.3903319844         0.1822151634
     175         1.0591583489        -0.2684384456         0.2684445425         1.0591608910
     175        -0.0035103601         0.4357309453        -0.4357297387        -0.0035117122
     200        -0.8562489279         0.6755448946        -0.6755387245        -0.8562454939
     200        -0.1797768890        -0.4023891919         0.4023885153        -0.1797805191
     225         0.5056862606        -0.9640560361         0.9640386707         0.5056774594
     225         0.3342381786         0.2948456119        -0.2948456096         0.3342461292
     250        -0.0688020548         1.0844039608        -1.0843784087        -0.0687894419
     250        -0.4311386183        -0.1312662453         0.1312669849        -0.4311494402
     275        -0.3783405415        -1.0163693866         1.0163400720        -0.3783547391
     275         0.4517351782        -0.0596610588         0.0596596091         0.4517469009
     300         0.7581948006         0.7724732100        -0.7724452062         0.7582080779
     300        -0.3908365054         0.2437904048        -0.2437883881        -0.3908469967
     325        -1.0051829789        -0.3956767058         0.3956548569        -1.0051929951
     325         0.2579441982        -0.3876373230         0.3876349873         0.2579515516
     350         1.0770198045        -0.0481878595         0.0481997769         1.0770247956
     350        -0.0757437501         0.4644537252        -0.4644513979        -0.0757466299
     375        -0.9619518482         0.4819223870        -0.4819223168        -0.9619509383
     375        -0.1238078845        -0.4591577085         0.4591557537        -0.1238100030
     400         0.6806738579        -0.8303930571         0.8303810188         0.6806672127
     400         0.3051146543         0.3712164270        -0.3712151889         0.3051213924
     425        -0.2826110773         1.0335489470        -1.0335270313        -0.2825998741
     425        -0.4352950047        -0.2149429286         0.2149426713        -0.4353051506
     450        -0.1627653459        -1.0567734371         1.0567454425        -0.1627791267
     450         0.4901211095         0.0171293562        -0.0171302096         0.4901328389
     475         0.5780642598         0.8967841137        -0.8967548885         0.5780781845
     475        -0.4584746081         0.1875835173        -0.1875815943        -0.4584858133
     500        -0.8914254812        -0.5820757360         0.5820503382        -0.8914370932
     500         0.3445080213        -0.3627923886         0.3627896193         0.3445166902
     525         1.0489581417         0.1678509289        -0.1678337503         1.0489653946
     525        -0.1671053606         0.4767996715        -0.4767964409        -0.1671099370
     550        -1.0240133561         0.2736607161        -0.2736667097        -1.0240149748
     550        -0.0432860075        -0.5083151452         0.5083119499        -0.0432863468
     575         0.8216953838        -0.6657982169         0.6657919983         0.8216910887
     575         0.2499123889         0.4503709321        -0.4503683046         0.2499175889
     600        -0.4778472787         0.9407835138        -0.9407661709        -0.4778378343
     600        -0.4161457863        -0.3117398846         0.3117383052        -0.4161549253
     625         0.0527082666        -1.0514421752         1.0514167209         0.0526953456
     625         0.5119630797         0.1155845676        -0.1155843769         0.5119745356
     650         0.3796363680         0.9793032012        -0.9792740507         0.3796504806
     650        -0.5193287390         0.1044488155        -0.1044474865        -0.5193404788
     675        -0.7441662603        -0.7376863044         0.7376585088        -0.7441790713
     675         0.4355230026        -0.3100256286         0.3100228974         0.4355329434
     700         0.9779482580         0.3692599134        -0.3692382843         0.9779575064
     700        -0.2738122115         0.4648046214        -0.4648008524        -0.2738185901
     725        -1.0410092943         0.0614853426        -0.0614970665        -1.0410133505
     725         0.0613201865        -0.5408414537         0.5408372130         0.0613218702
     750         0.9231803316        -0.4795218749         0.4795216747         0.9231784848
     750         0.1655513571         0.5235896778        -0.5235856499         0.1655546717
     775        -0.6457381011         0.8123553902        -0.8123433155        -0.6457306843
     775        -0.3673745672        -0.4146121056         0.4146089832        -0.3673823018
     800         0.2575789896        -1.0026034109         1.0025815690         0.2575673198
     800         0.5085432843         0.2315084860        -0.2315068509         0.5085540824
     825         0.1733897800         1.0178987316        -1.0178709205         0.1734036354
     825        -0.5635290993        -0.0050464974         0.0050467135        -0.5635410658
     850        -0.5721278615        -0.8564069464         0.8563779945        -0.5721414503
     850         0.5214516682        -0.2260308686         0.2260287318         0.5214627031
     875         0.8695316722         0.5470154786        -0.5469904060         0.8695425917
     875        -0.3881533645         0.4216414963        -0.4216376929        -0.3881615311
     900        -1.0144196920        -0.1441812629         0.1441644109        -1.0144260136
     900         0.1853943467        -0.5473066547         0.5473017379         0.1853982106
     925         0.9823529599        -0.2816467695         0.2816524913         0.9823535699
     925         0.0527207597         0.5802001858        -0.5801949291         0.0527218798
     950        -0.7797684020         0.6563475877        -0.6563412044        -0.7797631984
     950        -0.2854940108        -0.5132488975         0.5132441741        -0.2854999252
     975         0.4427236547        -0.9150361623         0.9150188009         0.4427135643
     975         0.4725915149         0.3565557722        -0.3565524099         0.4726011968
    1000        -0.0304925747         1.0133107880        -1.0132854785        -0.0304793885
    1000        -0.5810186739        -0.1358725247         0.1358711611        -0.5810304389
    1025        -0.3848535035        -0.9348878392         0.9348589869        -0.3848674478
    1025         0.5909107604        -0.1116463997         0.1116454363         0.5909225608
    1050         0.7310484855         0.6943084889        -0.6942811071         0.7310607177
    1050        -0.4991284990         0.3437063716        -0.3437031345        -0.4991382801
    1075        -0.9482140020        -0.3342654522         0.3342442909        -0.9482223569
